Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,French,English
1,1,1,1,histoire,history
2,2,2,2,chercher,search
3,3,3,3,seulement,only
4,4,4,4,police,police
5,5,5,5,aide,help
6,6,6,6,demande,request
7,7,7,7,genre,kind
9,9,9,9,frère,brother
10,10,10,10,laisser,let
11,11,11,11,car,because
12,12,12,12,mettre,to put
13,13,13,13,aucun,no
14,14,14,15,eux,them
15,15,16,17,chaque,each
16,16,17,18,parlé,speak
17,17,18,19,arrivé,come
18,18,19,20,devrait,should
19,19,20,21,bébé,baby
20,20,21,22,longtemps,long time
21,21,22,23,heures,hours
23,23,24,25,pendant,while
26,26,27,28,place,square
28,28,29,30,compris,understood
29,29,30,31,savais,knew
30,30,31,32,étaient,were
31,31,32,33,attention,Warning
32,32,33,34,voici,here is
33,33,34,35,pourrais,could
35,35,36,37,donner,give
36,36,37,38,type,type
37,37,38,39,leurs,their
38,39,41,42,corps,body
39,40,42,43,endroit,place
40,41,43,44,yeux,eyes
41,42,44,45,façon,way
42,43,45,46,écoute,listen
43,44,46,47,trouve,find
44,45,47,48,perdu,lost
45,47,50,51,côté,side
46,48,51,52,pouvoir,power
47,49,52,53,vieux,old
48,50,53,54,sois,be
49,51,54,55,tiens,here
50,52,55,56,matin,morning
51,53,56,57,tellement,so much
52,54,57,58,point,point
53,55,58,59,venu,came
54,56,59,60,suite,after
55,57,60,61,pardon,sorry
56,58,61,62,venez,come
57,59,62,63,devant,in front of
59,62,65,66,demandé,request
60,63,66,67,chambre,bedroom
61,64,67,69,belle,beautiful
62,65,68,70,droit,law
63,66,69,71,aimerais,would like to
64,67,70,72,aujourd'hui,today
65,68,71,73,mari,husband
66,69,72,74,cause,cause
67,70,73,75,enfin,finally
68,71,74,76,espère,hope
69,72,75,77,eau,water
71,74,77,79,parti,left
72,75,78,80,nouvelle,new
73,76,79,81,boulot,job
75,78,81,83,dirait,would say
76,79,82,84,terre,Earth
77,80,83,85,compte,account
78,82,85,87,fin,end
79,83,86,88,croire,believe
80,84,87,89,gros,large
82,86,89,92,filles,girls
84,88,91,94,bureau,office
